---------------------------------------------------------------------------------------------------------------------------------------------------------------|
       Sucursal.|            SKU|        Familia|  Prec. con IVA|  Stock en Uni.|    Bulto Prov.|            UxB|            IVA|         EAN-13|         DUM-14|
              1|           7053|             10|    200.3680900|            -12|       0.000000|             24|         21.000|  7790339001740|               |
              1|           7061|             10|    166.7542900|             23|       2.000000|             24|         21.000|  7795252009828|               |
              1|           7068|             10|      9.6787900|            -13|       0.000000|             12|         21.000|  7795252009460|               |
              1|           7381|             10|    291.9892900|            -13|       0.000000|             20|         21.000|  7790339000019| 17790339000016|
              1|           7498|             10|    134.1810900|            165|      15.000000|             12|         21.000|  7790345708107|  7790345708108|
              1|           7499|             10|    193.7735900|             12|       2.000000|             12|         21.000|  7790345809002|  7790345809003|
              1|           7500|             10|    225.8869900|            -10|       1.000000|              6|         21.000|  7790345150005|  7790345150002|
              1|           7577|             10|    181.3589900|              2|       3.000000|              6|         21.000|  7790345172007| 17790345172004|
              1|           7637|             10|     13.9137900|            -14|       0.000000|              6|         21.000|  7798085999045| 17798085999899|
              1|           7638|             10|     12.8865000|            -13|       0.000000|              6|         21.000|  7798085999014| 17798085999868|
              1|           7639|             10|     15.3052900|            -13|       0.000000|              6|         21.000|  7798085999021| 17798085999875|
              1|           8773|             10|    132.0030900|             36|       2.000000|             24|         21.000|  7792459012125| 17792459012122|
              1|           8833|             10|     59.2887900|            -13|       0.000000|             12|         21.000|  7795252000429| 17795252009429|
              1|           8834|             10|     66.2946900|            -13|       0.000000|              6|         21.000|  7795252001402| 17795252001409|
              1|           9972|             10|    304.3312900|            451|      19.000000|             24|         21.000|  7798182433893|               |
              1|           9973|             10|    230.4002900|            -24|       0.000000|             24|         21.000|  7798182433923|               |
              1|           9974|             10|    258.0487900|             34|       2.000000|             24|         21.000|  7798182433916|               |
              1|           9976|             10|    175.1032900|             40|       2.000000|             24|         21.000|  7798182433909|               |
              1|          14915|             10|    295.8612900|             -6|       0.000000|             24|         21.000|  7798182436719|               |
              1|          16602|             10|     78.4793900|            116|      22.000000|              6|         21.000|  7795252000061|               |
              1|          16919|             10|   5688.7447900|             77|      23.000000|              4|         21.000|  7798182435231|               |
              1|          17556|             10|   3016.5432800|            347|      60.000000|              6|         21.000|  7798182437549|               |
              1|          17732|             10|    377.7056900|              8|       2.000000|             12|         21.000|  7792459000429| 17792459000426|
              1|          17733|             10|    296.9502900|              7|       2.000000|             12|         21.000|  7792459000856| 17792459000853|
              1|          18072|             10|    330.6500000|            -13|       0.000000|             36|         21.000|  7790345547706|  7790345547705|
              1|          18073|             10|    330.6500000|            -13|       0.000000|             36|         21.000|  7790345409455|  7790345409457|
              1|          18995|             10|     12.0879000|            -13|       0.000000|             12|         21.000|  7792459012118| 17792459012115|
              1|          70019|             10|    477.3854900|             -9|       1.000000|              6|         21.000|  7798104660963|               |
              1|          70074|             10|    182.4721900|             60|       3.000000|             25|         21.000|  7798081191320| 17798081191327|
              1|          70096|             10|    192.9991900|             10|       1.000000|             25|         21.000|  7798081190248| 17798081190245|
              1|          70279|             10|    264.7642900|              5|       2.000000|             12|         21.000|  7798081193249| 17798081193246|
              1|          70313|             10|    567.3018000|            -11|       0.000000|             12|         21.000|  7790733009151| 17790733009158|
              1|          70360|             10|    394.2463900|              7|       2.000000|             12|         21.000|  7798081192938|               |
              1|          70361|             10|    195.4554900|             -7|       0.000000|             25|         21.000|  7798081191894| 17798081991891|
              1|          70450|             10|     62.3742900|            -13|       0.000000|             12|         21.000|  7790339000125| 17790339000122|
              1|          70453|             10|    153.2398000|             -8|       0.000000|             12|         21.000|  7790339000101| 17790339000108|
              1|          70455|             10|    290.0774900|            -11|       0.000000|             12|         21.000|  7790339000057| 17790339000054|
              1|          70511|             10|    568.1112900|             16|       7.000000|              4|         21.000|  7791231312002| 17791231312009|
              1|          70517|             10|   1229.0737900|            -13|       0.000000|              4|         21.000|  7798104669553|               |
              1|          70518|             10|    516.9900000|            -13|       0.000000|              6|         21.000|  7798104669539|               |
              1|          70543|             10|    248.2356900|            -11|       0.000000|             12|         21.000|  7790339000460| 37790339000461|
              1|          70545|             10|     25.7717900|            -13|       0.000000|             24|         21.000|  7790339001276| 47790339001274|
              1|          70574|             10|    398.9411900|            -11|       0.000000|              6|         21.000|  7790339001092| 37790339001093|
              1|          70577|             10|     67.7587900|            -13|       0.000000|             12|         21.000|  7790339001177| 37790339001178|
              1|          70578|             10|    182.4855000|            -11|       0.000000|             12|         21.000|  7790339001146| 37790339001147|
              1|          70581|             10|     52.8757900|            -13|       0.000000|             12|         21.000|  7790339001139| 37790339001130|
              1|          70604|             10|     29.0387900|            -13|       0.000000|             12|         21.000|  7790345131400|               |
              1|          70606|             10|    597.9256900|            -13|       0.000000|              6|         21.000|  7790345824005|               |
              1|          70621|             10|    605.8027900|             11|       6.000000|              4|         21.000|  7791231456003| 17791231456000|
              1|          70692|             10|     90.7245900|             14|       2.000000|             12|         21.000|  7792459004083| 17792459004080|
              1|          70696|             10|    189.5627900|             -6|       0.000000|             24|         21.000|  7792459000849|               |
              1|          70719|             10|    199.0128900|             28|       3.000000|             12|         21.000|  7792459013443| 17792459013441|
              1|          70720|             10|    119.0748900|             -3|       1.000000|             12|         21.000|  7792459000634| 17792459000631|
              1|          70723|             10|    233.0259900|             -2|       2.000000|              6|         21.000|  7792459000337| 27792459000331|
              1|          70724|             10|    280.2764900|             13|       2.000000|             12|         21.000|  7792459007169| 17792459007166|
              1|          70725|             10|    149.8142900|            -13|       0.000000|             12|         21.000|  7792459007183| 17792459007180|
              1|          70726|             10|    221.6882900|             22|       3.000000|             12|         21.000|  7792459004090| 17792459004097|
              1|          70727|             10|    945.6675900|             -2|       6.000000|              2|         21.000|  7791231809007| 17791231809004|
              1|          70766|             10|    270.4270900|             36|       4.000000|             12|         21.000|  7791231001159| 27791231001153|
              1|          70815|             10|    280.2764900|             28|       3.000000|             12|         21.000|  7792459002249| 17792459002246|
              1|          70816|             10|    299.2008900|              4|       1.000000|             12|         21.000|  7792459002225| 17792459002222|
              1|          70824|             10|    185.2672900|           1428|      30.000000|             48|         21.000|  7798182433862|               |
              1|          70825|             10|    214.4282900|            739|      16.000000|             48|         21.000|  7798182433879|               |
              1|          70826|             10|    241.3507900|             -7|       0.000000|             48|         21.000|  7798182433886|               |
              1|          70827|             10|    102.7882900|            703|      15.000000|             48|         21.000|  7798182433930|               |
              1|          70828|             10|    146.3052900|           1587|      33.000000|             48|         21.000|  7798182433947|               |
              1|          70829|             10|    202.8727900|            150|       7.000000|             24|         21.000|  7798182433954|               |
              1|          70830|             10|    169.6582900|              5|       0.000000|             48|         21.000|  7798182433961|               |
              1|          70831|             10|    550.1427900|            158|       7.000000|             24|         21.000|  7798182433978|               |
              1|          70832|             10|    117.4897900|            -15|       0.000000|             24|         21.000|  7798182433244|               |
              1|          70843|             10|     42.4092900|            -12|       0.000000|            160|         21.000|  7798182432841|               |
              1|          70845|             10|     42.0462900|           1000|      11.000000|             96|         21.000|  7798182432865|               |
              1|          70847|             10|    222.2327900|            -13|       0.000000|             96|         21.000|  7798182432889|               |
              1|          70872|             10|    248.4897900|             29|       2.000000|             24|         21.000|  7798182435828|               |
              1|          70873|             10|    510.9387900|            189|       8.000000|             24|         21.000|  7798182435835|               |
              1|          70874|             10|    365.6782900|             -5|       1.000000|             12|         21.000|  7798182435842|               |
              1|          70875|             10|    258.7142900|            596|      13.000000|             48|         21.000|  7798182435859|               |
              1|          70876|             10|    886.5227900|            193|       9.000000|             24|         21.000|  7798182435866|               |
              1|          70877|             10|    216.5457900|            -11|       0.000000|            100|         21.000|  7798182435873|               |
              1|          70878|             10|    220.2967900|            599|      13.000000|             48|         21.000|  7798182435941|               |
              1|          70879|             10|    245.8882900|             81|       4.000000|             25|         21.000|  7798182435248|               |
              1|          70950|             10|    194.0397900|             68|       3.000000|             25|         21.000|  7798182438720|               |
              1|          70999|             10|    237.7812900|            -13|       0.000000|             48|         21.000|  7798182432858|               |
              1|          71766|             10|    264.7642900|             69|       3.000000|             25|         21.000|  7798081190095| 17798081190092|
              1|          72073|             10|    277.5176900|            -13|       0.000000|             20|         21.000|  7798104663612|               |
              1|          72090|             10|    585.5715900|            -10|       0.000000|             12|         21.000|  7798104660840|               |
              1|          72093|             10|    189.4417900|            -13|       0.000000|             25|         21.000|  7790733001124|               |
              1|          72129|             10|    155.1987900|             -9|       0.000000|             12|         21.000|  7798104669430|               |
              1|          72154|             10|    670.9370900|             -8|       1.000000|              6|         21.000|  7798104662332| 17798104662339|
              1|          72155|             10|    670.9370900|             -7|       1.000000|              6|         21.000|  7798104662349| 17798104662346|
              1|          72260|             10|   1001.2670900|            -13|       0.000000|              6|         21.000|  7798104669966|               |
              1|          72261|             10|   1307.6632900|            -12|       0.000000|              6|         21.000|  7798104669973|               |
              1|          72265|             10|   1157.9875000|            -13|       0.000000|              4|         21.000|  7798104669959| 17798104669956|
              1|          72266|             10|   1367.6308900|            -13|       0.000000|              4|         21.000|  7798104669942| 17798104669949|
              1|          74304|             10|    253.0756900|            -11|       0.000000|             20|         21.000|  7798104660802|               |
              1|          74545|             10|    962.0267900|            -11|       0.000000|              5|         21.000|  7798104662844|               |
              1|          74546|             10|    176.8577900|              3|       1.000000|             25|         21.000|  7798081192846| 17798081192843|
              1|          74595|             10|    395.9900000|            -13|       0.000000|              6|         21.000|  7798104662868|               |
              1|          76173|             10|      9.9982300|            -13|       0.000000|             12|         21.000|  7792761002821|               |
              1|          77203|             10|    572.8436000|            -10|       1.000000|              4|         21.000|  7790733001841|               |
              1|          77207|             10|    194.4027900|             35|       4.000000|             12|         21.000|  7798081192297| 17798081192294|
              1|          77209|             10|    378.6373900|            -13|       0.000000|             12|         21.000|  7790733009250|  7790733021535|
              1|          77217|             10|    518.5993000|             25|       3.000000|             12|         21.000|  7790733009656|               |
              1|          77228|             10|   2087.0847900|            -12|       0.000000|              6|         21.000|  7798104668464|               |
              1|          77229|             10|   3095.4122900|            -13|       0.000000|              1|         21.000|  7798182430861| 17798182430868|
              1|          77230|             10|   2918.0262900|            311|      81.000000|              4|         21.000|  7798182430854| 17798182430851|
              1|          77231|             10|   1222.7212900|            -13|       0.000000|              1|         21.000|  7798182430847| 17798182430844|
              1|          77232|             10|   1099.8457900|            311|      54.000000|              6|         21.000|  7798182430878| 17798182430875|
              1|          77234|             10|    296.5146900|            -11|       0.000000|             12|         21.000|  7798104660239| 17798104660236|
              1|          77236|             10|   2145.8792950|             38|      10.000000|              5|         21.000|  7798182438249|               |
              1|          77237|             10|   1292.3056070|              2|       3.000000|              6|         21.000|  7798182438256|               |
